Designator,Mid X,Mid Y,Rotation,Layer
C1,117.5,-148.5,270.0,top
C2,133.0,-128.5,0.0,top
C3,122.0,-128.5,180.0,top
C4,129.5,-108.5,90.0,top
C5,113.5,-135.0,180.0,bottom
C6,104.5,-135.0,180.0,bottom
C7,112.25,-137.0,0.0,top
C8,103.75,-137.0,0.0,top
D1,135.5,-116.23,90.0,bottom
D2,102.745,-128.5,180.0,bottom
D3,102.745,-122.5,180.0,bottom
D4,102.745,-116.5,180.0,bottom
D5,114.0,-150.5,270.0,top
F1,117.0,-153.0,90.0,top
J1,132.5,-145.0,0.0,bottom
J2,132.5,-138.0,0.0,bottom
J3,124.5,-138.0,0.0,bottom
J4,119.0,-158.0,0.0,top
J5,106.54,-158.0,180.0,bottom
J6,131.54,-158.0,180.0,bottom
R1,122.5,-146.75,270.0,top
R10,131.75,-114.25,0.0,top
R11,131.75,-115.5,0.0,top
R12,119.3,-154.1,90.0,top
R13,118.3,-154.1,90.0,top
R14,120.75,-145.75,90.0,top
R15,118.0,-145.8,270.0,top
R2,136.5,-112.5,270.0,top
R3,106.0,-127.99,270.0,top
R4,106.0,-121.99,270.0,top
R5,106.0,-115.99,270.0,top
R6,101.25,-108.01,270.0,top
R7,116.25,-108.01,270.0,top
R8,131.5,-108.01,270.0,top
R9,131.7,-116.75,0.0,top
SW1,126.0,-149.1,90.0,top
U1,120.0,-149.9,0.0,top
U2,125.16,-121.42,180.0,top
U3,119.0,-116.115,0.0,bottom
U4,104.0,-109.5,0.0,top
U5,119.0,-109.5,0.0,top
U6,134.0,-109.5,0.0,top
U7,113.5,-141.5,180.0,top
U8,105.0,-141.5,180.0,top
